,features,rank
0,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.375,0.17682926829268295,0.36262626262626263,0.04811281625881377,0.484375,0.46153846153846156])",91
1,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.12979598816972818,0.14285714285714285,0.19817073170731708,0.2674242424242424,0.03138393474353657,0.390625,0.2884615384615385])",88
2,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.20833333333333331,0.12979598816972818,0.1567452380952381,0.14837317073170733,0.39377111111111107,0.14959214710355315,0.46875,0.40384615384615385])",86
3,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.29166666666666663,0.12979598816972818,0.10173095238095238,0.15299268292682927,0.4044076767676768,0.42001935573067883,0.390625,0.3076923076923077])",83
4,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.3333333333333333,0.12979598816972818,0.07142857142857142,0.06873658536585366,0.35573919191919195,0.4796073551776579,0.234375,0.25])",82
5,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.3333333333333333,0.12979598816972818,0.1058190476190476,0.04878048780487805,0.34837252525252527,0.23876676344532005,0.328125,0.23076923076923078])",84
6,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.4583333333333333,0.12979598816972818,0.2106785714285714,0.1803390243902439,0.36994181818181815,0.06014102032351721,0.203125,0.15384615384615385])",1
7,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.5,0.12979598816972818,0.21789285714285714,0.1869926829268293,0.3646157575757576,0.025300705101617586,0.203125,0.19230769230769232])",3
8,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.36147142857142855,0.385809756097561,0.36645232323232324,0.003732890916632103,0.1875,0.15384615384615385,0.0016666666666666666])",10
9,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.4538238095238095,0.4567634146341463,0.35414747474747477,0.0009677865339416564,0.453125,0.3076923076923077,0.005454545454545454])",12
10,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.20129761904761903,0.3037682926829268,0.3642484848484848,0.0033181252592285357,0.46875,0.25,0.004285714285714286])",9
11,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.2653071428571428,0.2508707317073171,0.3468975757575758,0.040232268768146,0.390625,0.34615384615384615,0.006666666666666666])",90
12,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.27849999999999997,0.26459756097560977,0.3687787878787879,0.019493985897967647,0.1875,0.17307692307692307,0.0012903225806451613])",7
13,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.12979598816972818,0.19727857142857141,0.2909414634146341,0.3378066666666667,0.1034149039126227,0.203125,0.17307692307692307,0.004])",87
14,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.12979598816972818,0.26767619047619046,0.2579463414634146,0.36626868686868685,0.007604037052398729,0.46875,0.46153846153846156,0.0013333333333333333])",6
15,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.25,0.12979598816972818,0.1363642857142857,0.2941609756097561,0.33994484848484846,0.06249135904880408,0.265625,0.2692307692307693,0.007692307692307693])",8
16,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.375,0.12979598816972818,0.1593404761904762,0.21013170731707317,0.37311575757575755,0.23199225770772847,0.1875,0.17307692307692307,0.004])",22
17,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.4583333333333333,0.12979598816972818,0.1523809523809524,0.17235853658536587,0.37400666666666665,0.5062906124706207,0.3125,0.34615384615384615,0.01])",80
