,id,first_name,last_name,full_name,status,rank,points,starts,wins,poles,stage_wins,chase_bonus,chase_wins,chase_stage_wins,top_5,top_10,top_15,top_20,dnf,laps_led,laps_completed,money,avg_start_position,avg_finish_position,avg_laps_completed,laps_led_pct,in_chase,behind,series,season
0,623f4293-77e7-43b3-8d91-0a5ab9365c3d,Ben,Rhodes,Ben Rhodes,ACT,1,265,6,1,0,5.0,10.0,0.0,0.0,5,5,5,5,1,166,740,0.0,10.6667,7.5,123.3333,22.43,False,nan value,cw,2022
1,e989356d-2e28-4e5d-95a1-0b8a06d668dc,Chandler,Smith,Chandler Smith,ACT,2,227,6,1,0,0.0,5.0,0.0,0.0,3,4,4,5,0,56,770,0.0,4.6667,9.3333,128.3333,7.27,False,-38.0,cw,2022
2,c8fe8af7-8850-43e9-8544-8df52aa7d66b,Stewart,Friesen,Stewart Friesen,ACT,3,214,6,0,0,1.0,1.0,0.0,0.0,1,3,5,6,0,51,771,0.0,6.6667,9.6667,128.5,6.61,False,-51.0,cw,2022
3,3ec1dd6a-c9b8-4d82-821f-23d0bdd4b310,Zane,Smith,Zane Smith,ACT,4,211,6,2,0,3.0,13.0,0.0,0.0,3,5,5,5,1,84,771,0.0,11.8333,10.3333,128.5,10.89,False,-54.0,cw,2022
4,6334f9f0-8b97-4020-8204-2ba30e7dd4ba,John H.,Nemechek,John H. Nemechek,ACT,5,203,6,0,1,3.0,3.0,0.0,0.0,3,3,3,3,0,85,767,0.0,8.1667,13.6667,127.8333,11.08,False,-62.0,cw,2022
5,cc332998-5d7e-413f-8a9b-28a46373958b,Christian,Eckes,Christian Eckes,ACT,6,193,6,0,0,0.0,0.0,0.0,0.0,2,3,4,5,1,16,763,0.0,12.1667,11.6667,127.1667,2.1,False,-72.0,cw,2022
6,e71b88ec-f12c-4acd-bbc7-726833477f1f,Ty,Majeski,Ty Majeski,ACT,7,187,6,0,1,0.0,0.0,0.0,0.0,1,3,4,4,0,22,764,0.0,9.6667,13.6667,127.3333,2.88,False,-78.0,cw,2022
7,10558306-a1c2-4eb9-9b23-69551309aee2,Tanner,Gray,Tanner Gray,ACT,8,180,6,0,0,0.0,0.0,0.0,0.0,2,3,4,5,0,7,771,0.0,19.5,11.6667,128.5,0.91,False,-85.0,cw,2022
8,e4522ae3-a66d-42e6-992d-f4ea7dd3284c,Carson,Hocevar,Carson Hocevar,ACT,9,170,6,0,0,0.0,0.0,0.0,0.0,1,3,4,5,0,65,768,0.0,10.0,12.6667,128.0,8.46,False,-95.0,cw,2022
9,b5610b89-dded-41b1-bb85-bac0ccf63015,Matt,Crafton,Matt Crafton,ACT,10,163,6,0,0,0.0,0.0,0.0,0.0,0,3,4,4,1,1,763,0.0,14.0,14.6667,127.1667,0.13,False,-102.0,cw,2022
10,9c0ead27-e7d3-4861-9e2d-a77e166dc955,Grant,Enfinger,Grant Enfinger,ACT,11,154,6,0,0,0.0,0.0,0.0,0.0,0,3,4,4,1,14,764,0.0,11.6667,15.0,127.3333,1.83,False,-111.0,cw,2022
