,full_name,rookie_year,series
0,Aric Almirola,2007,sc
1,Christopher Bell,2020,sc
2,Ryan Blaney,2014,sc
3,Alex Bowman,2014,sc
4,Chase Briscoe,2021,sc
5,Chris Buescher,2015,sc
6,Harrison Burton,2021,sc
7,Kurt Busch,2000,sc
8,Kyle Busch,2004,sc
9,William Byron,2018,sc
10,Ross Chastain,2018,sc
11,Austin Cindric,2021,sc
12,Cole Custer,2018,sc
13,Austin Dillon,2011,sc
14,Ty Dillon,2014,sc
15,Chase Elliott,2015,sc
16,Todd Gilliland,2022,sc
17,Denny Hamlin,2005,sc
18,Kevin Harvick,2001,sc
19,Justin Haley,2019,sc
20,Erik Jones,2015,sc
21,Brad Keselowski,2008,sc
22,Corey LaJoie,2014,sc
23,Kyle Larson,2013,sc
24,Joey Logano,2008,sc
25,Michael McDowell,2008,sc
26,Tyler Reddick,2019,sc
27,Ricky Stenhouse Jr.,2011,sc
28,Daniel Suárez,2017,sc
29,Martin Truex Jr.,2004,sc
30,Bubba Wallace,2017,sc
31,Cody Ware,2016,sc
32,Justin Allgaier,2013,sc
33,A.J. Allmendinger,2006,sc
34,Greg Biffle,2002,sc
35,Josh Bilicki,2017,sc
36,Landon Cassill,2010,sc
37,Noah Gragson,2021,sc
38,Kaz Grala,2020,sc
39,Joey Hand,2021,sc
40,Daniel Hemric,2017,sc
41,Loris Hezemans,2022,sc
42,Timmy Hill,2012,sc
43,Andy Lally,2009,sc
44,Tarso Marques,2022,sc
45,B. J. McLeod,2015,sc
46,Ryan Preece,2015,sc
47,David Ragan,2006,sc
48,Boris Said,1998,sc
49,Garrett Smithley,2018,sc
50,Jacques Villeneuve,2007,sc
51,J.J. Yeley,2004,sc
52,Anthony Alfredo,2021,sc
53,James Davison,2020,sc
54,Matt DiBenedetto,2015,sc
55,Quin Houff,2019,sc
56,Jamie McMurray,2002,sc
57,Ryan Newman,2000,sc
58,Anthony Alfredo,2020,xf
59,Justin Allgaier,2008,xf
60,A.J. Allmendinger,2007,xf
61,Josh Berry,2014,xf
62,Brandon Brown,2016,xf
63,Jade Buford,2020,xf
64,Jeb Burton,2013,xf
65,Landon Cassill,2007,xf
66,Jeremy Clements,2003,xf
67,Sheldon Creed,2017,xf
68,Bayley Currey,2018,xf
69,Ty Gibbs,2021,xf
70,Joe Graf Jr.,2019,xf
71,Noah Gragson,2018,xf
72,Daniel Hemric,2017,xf
73,Riley Herbst,2018,xf
74,Austin Hill,2019,xf
75,Brandon Jones,2015,xf
76,Sam Mayer,2021,xf
77,Brett Moffitt,2012,xf
78,Stefan Parsons,2019,xf
79,Ryan Sieg,2013,xf
80,Myatt Snider,2020,xf
81,Ryan Vargas,2019,xf
82,Josh Williams,2016,xf
83,J.J. Yeley,2004,xf
84,Caesar Bacarella,2017,xf
85,Ronnie Bassett Jr.,2019,xf
86,Dillon Bassett,2019,xf
87,Trevor Bayne,2009,xf
88,Josh Bilicki,2016,xf
89,Chase Briscoe,2016,xf
90,Rajah Caruth,2022,xf
91,Parker Chase,2022,xf
92,Ross Chastain,2014,xf
93,Cole Custer,2016,xf
94,Natalie Decker,2021,xf
95,Howie DiSavino III,2022,xf
96,Drew Dollar,2022,xf
97,Dale Earnhardt Jr.,1996,xf
98,Jeffrey Earnhardt,2009,xf
99,Ryan Ellis,2012,xf
100,Patrick Emerling,2020,xf
101,Chad Finchum,2017,xf
102,Patrick Gallagher,2019,xf
103,Joey Gase,2011,xf
104,Gray Gaulding,2016,xf
105,Kaz Grala,2018,xf
106,Derek Griffith,2022,xf
107,Scott Heckert,2016,xf
108,Loris Hezemans,2019,xf
109,Timmy Hill,2011,xf
110,Jesse Iwuji,2020,xf
111,John Jackson,2011,xf
112,Sage Karam,2021,xf
113,Parker Kligerman,2018,xf
114,Takuma Koga,2022,xf
115,Alex Labbé,2016,xf
116,Shane Lee,2018,xf
117,Raphaël Lessard,2022,xf
118,Jesse Little,2020,xf
119,Carl Long,1999,xf
120,Tommy Joe Martins,2014,xf
121,Mason Massey,2020,xf
122,C.J. McLaughlin,2019,xf
123,Jason Miles,2022,xf
124,Matt Mills,2017,xf
125,Stan Mullis,2017,xf
126,John Hunter Nemechek,2018,xf
127,Miguel Paludo,2012,xf
128,Preston Pardus,2019,xf
129,Brennan Poole,2015,xf
130,Ryan Preece,2013,xf
131,Parker Retzlaff,2022,xf
132,Harrison Rhodes,2013,xf
133,Will Rodgers,2019,xf
134,Nick Sanchez,2022,xf
135,Kyle Sieg,2021,xf
136,David Starr,2000,xf
137,Ryan Truex,2010,xf
138,Tim Viens,2015,xf
139,Bubba Wallace,2012,xf
140,Kyle Weatherman,2019,xf
141,Michael Annett,2008,xf
142,Dexter Bean,2006,xf
143,Tanner Berryhill,2012,xf
144,Harrison Burton,2019,xf
145,Austin Cindric,2017,xf
146,Santino Ferrucci,2021,xf
147,Chad Finchum,2017,xf
148,Colin Garrett,2019,xf
149,Brandon Gdovic,2015,xf
150,George Gorham Jr.,2021,xf
151,Mike Harmon,1996,xf
152,Matt Jaskol,2021,xf
153,Andy Lally,2007,xf
154,Stephen Leicht,2005,xf
155,Jesse Little,2020,xf
156,Dylan Lupton,2015,xf
157,Robby Lyons,2019,xf
158,Michael Munley,2021,xf
159,Preston Pardus,2019,xf
160,Blaine Perkins,2021,xf
161,Spencer Pumpelly,2021,xf
162,Boris Said,1998,xf
163,Dave Smith,2021,xf
164,Garrett Smithley,2015,xf
165,Carson Ware,2020,xf
166,Cody Ware,2014,xf
167,Jason White,1999,xf
168,Lawless Alan,2021,cw
169,Tyler Ankrum,2018,cw
170,Spencer Boyd,2016,cw
171,Matt Crafton,2000,cw
172,Hailie Deegan,2020,cw
173,Matt DiBenedetto,2022,cw
174,Christian Eckes,2018,cw
175,Grant Enfinger,2010,cw
176,Tate Fogleman,2018,cw
177,Stewart Friesen,2016,cw
178,Tanner Gray,2019,cw
179,Timmy Hill,2013,cw
180,Carson Hocevar,2019,cw
181,Colby Howard,2019,cw
182,Matt Jaskol,2022,cw
183,Derek Kraus,2018,cw
184,Ty Majeski,2019,cw
185,Thad Moffitt,2022,cw
186,John Hunter Nemechek,2013,cw
187,Blaine Perkins,2022,cw
188,Chase Purdy,2018,cw
189,Ben Rhodes,2014,cw
190,Austin Wayne Self,2016,cw
191,Chandler Smith,2019,cw
192,Zane Smith,2018,cw
193,Dean Thompson,2021,cw
194,Jack Wood,2021,cw
195,Kris Wright,2020,cw
196,Jordan Anderson,2014,cw
197,Logan Bearden,2021,cw
198,Norm Benning,2002,cw
199,Todd Bodine,1995,cw
200,Danny Bohn,2019,cw
201,Alex Bowman,2015,cw
202,Kyle Busch,2001,cw
203,William Byron,2015,cw
204,Tyler Carpenter,2022,cw
205,Ross Chastain,2011,cw
206,Jennifer Jo Cobb,2008,cw
207,Sheldon Creed,2016,cw
208,Bryan Dauzat,2014,cw
209,Spencer Davis,2018,cw
210,Kaz Grala,2016,cw
211,Taylor Gray,2021,cw
212,Clay Greenfield,2010,cw
213,Chris Hacker,2021,cw
214,Corey Heim,2021,cw
215,Riley Herbst,2018,cw
216,Loris Hezemans,2022,cw
217,Austin Hill,2014,cw
218,Tyler Hill,2019,cw
219,Bret Holmes,2021,cw
220,Kaden Honeycutt,2022,cw
221,Leland Honeyman,2022,cw
222,Jason Kitzmiller,2022,cw
223,Parker Kligerman,2010,cw
224,Chase Janes,2022,cw
225,Jesse Little,2015,cw
226,Blake Lothian,2022,cw
227,Matt Mills,2016,cw
228,Brad Perez,2022,cw
229,Brennan Poole,2015,cw
230,Ryan Preece,2021,cw
231,Roger Reuse,2018,cw
232,Will Rodgers,2021,cw
233,Cory Roper,2018,cw
234,Johnny Sauter,2003,cw
235,Dillon Steuer,2022,cw
236,Tim Viens,2015,cw
237,Jason White,2018,cw
238,Jeffrey Abbey,2017,cw
239,Anthony Alfredo,2019,cw
240,Bryant Barnhill,2018,cw
241,T. J. Bell,2003,cw
242,Kyle Benjamin,2018,cw
243,Greg Biffle,1998,cw
244,Danny Bohn,2019,cw
245,Harrison Burton,2016,cw
246,Dan Corcoran,2019,cw
247,Dawson Cram,2018,cw
248,Tyler Dippel,2018,cw
249,Devin Dodson,2019,cw
250,Chad Finley,2015,cw
251,Chris Fontaine,2005,cw
252,Bobby Gerhart,1996,cw
253,David Gilliland,2005,cw
254,Colt Gilliam,2019,cw
255,Juan Manuel González,2019,cw
256,Lou Goss,2019,cw
257,Jake Griffin,2015,cw
258,Tyler Hill,2019,cw
259,Landon Huffman,2017,cw
260,Trey Hutchens,2019,cw
261,Justin Johnson,2011,cw
262,D. J. Kennington,2010,cw
263,Gary Klutt,2016,cw
264,Travis Kvapil,2001,cw
265,Dylan Lupton,2016,cw
266,Robby Lyons,2017,cw
267,Mike Marlar,2019,cw
268,Mason Massey,2019,cw
269,Cody McMahan,2019,cw
270,Tony Mrakovich,2019,cw
271,Darwin Peters Jr.,2019,cw
272,Timothy Peters,2005,cw
273,Kyle Plott,2019,cw
274,Greg Rayl,2019,cw
275,Ryan Reed,2012,cw
276,Bobby Reuse,2017,cw
277,Roger Reuse,2018,cw
278,Daniel Sasnett,2019,cw
279,Justin Shipley,2016,cw
280,Mark Smith,2019,cw
281,Myatt Snider,2016,cw
282,Scott Stenzel,2012,cw
283,Kyle Strickler,2018,cw
284,Alex Tagliani,2014,cw
285,Ryan Truex,2012,cw
286,Tim Ward,2019,cw
287,Carson Ware,2019,cw
288,Reid Wilson,2018,cw
