,full_name,rookie_year,series
289,Amber Balcaen,2022,
290,Toni Breidinger,2018,
291,Rajah Caruth,2021,
292,Parker Chase,2020,
293,Daniel Dye,2021,
294,Corey Heim,2019,
295,Nick Sanchez,2020,
296,Brad Smith,1988,
297,Sammy Smith,2021,
298,Zachary Tinkle,2021,
299,Sebastian Arias,2022,
300,Bridget Burgess,2021,
301,Sean Corr,2008,
302,Gus Dean,2016,
303,Jake Drew,2021,
304,Taylor Gray,2020,
305,Max Gutiérrez,2020,
306,Takuma Koga,2020,
307,Jason White,2019,
308,D.L. Wilson,2018,
309,Giovanni Bromante,2020,
310,Chase Cabre,2017,
311,Mason Diaz,2019,
312,Sam Mayer,2018,
313,Nick Sanchez,2019,
314,Tristan Van Wieringen,2018,
315,Justin S. Carroll,2020,
316,Daniel Dye,2020,
317,Brian Finney,2020,
318,Ty Gibbs,2019,
319,Tanner Gray,2019,
320,Taylor Gray,,
321,Derek Griffith,2020,
322,Corey Heim,2020,
323,Chuck Hiers,2020,
324,Holley Hollan,2020,
325,Jesse Love,2020,
326,Max McLaughlin,2019,
327,Willie Mullins,2020,
328,Stephen Nasse,2012,
329,Robert Pawloski,2017,
330,Parker Retzlaff,2019,
331,Giovanni Scelzi,2020,
332,Gracie Trotter,2020,
333,Hailie Deegan,2018,
334,Rich DeLong III,2013,
335,Trevor Huddleston,2016,
336,Jagger Jones,2019,
337,Takuma Koga,2002,
338,Derek Kraus,2017,
339,Matt Levin,2015,
340,Travis Milburn,2008,
341,Flash Rose,2016,
342,Todd Souza,2006,
343,Tim Spurgeon,2010,
344,Joey Tanner,2019,
345,Kody Vanderwal,2017,
346,Brittney Zamora,2019,
347,Kenny Bumbera,2019,
348,Taylor Canfield,2018,
349,Cole Cabrera,2019,
350,Dylan Garner,2019,
351,Tanner Gray,2019,
352,David Hibbard,2018,
353,Ron Jay,2012,
354,Nick Joanides,2004,
355,Bill Kann,2013,
356,Rob Powers,2015,
357,Austin Reed,2014,
358,Austin Thom,2019,
359,Tony Toste,1998,
360,Armani Williams,2018,
361,Jack Wood,2019,
362,Blake Barney,2018,
363,Jimmy Blewett,2001,
364,Justin Bonsignore,2007,
365,Kyle Bonsignore,2015,
366,Calvin Carroll,2016,
367,Timmy Catalano,2019,
368,Tommy Catalano,2018,
369,Doug Coby,2002,
370,Wade Cole,1985,
371,Patrick Emerling,2011,
372,Melissa Fifield,2014,
373,Eric Goodale,2008,
374,Ken Heagy,1987,
375,Craig Lutz,2014,
376,John McKennedy,2006,
377,Burt Myers,1999,
378,Anthony Nocella,2015,
379,Chris Pasteryak,2005,
380,Woody Pitkat,2007,
381,Sam Rameau,2018,
382,Dave Sapienza,2014,
383,Ron Silk,2003,
384,Timmy Solomito,2011,
385,Rob Summers,1998,
386,Matt Swanson,2015,
387,Kyle Benjamin,2019,
388,James Civali,2005,
389,Chase Dowling,2015,
390,Kyle Ebersole,2013,
391,Frank Fleming,1986,
392,J. B. Fortin,2018,
393,Jeremy Gerstner,2017,
394,Matt Hirschman,2005,
395,Andrew Krause,2016,
396,Gary Putnam,2014,
397,Andy Seuss,2006,
398,Walter Sutcliffe Jr.,2016,
399,Jamie Tomaino,1985,
400,Jason Hathaway,2007,
401,Kevin Lacroix,2015,
402,D. J. Kennington,2007,
403,L. P. Dumoulin,2009,
404,Donald Theetge,2011,
405,Brett Taylor,2016,
406,Larry Jackson,2012,
407,Connor James,2018,
408,Dexter Stacey,2009,
409,Anthony Simone,2008,
410,J.R. Fitzpatrick,2007,
411,Alex Tagliani,2007,
412,Jason White,2007,
413,Mathieu Kingsbury,2019,
414,Treyton Lapcevich,2020,
415,Kenny Forth,2007,
416,Cole Powell,2018,
417,Todd Cresswell,2019,
418,Sebastiaan Bleekemolen,2021,
419,Davide Dallara,2020,
420,Alon Day,2015,
421,Ulysse Delsaux,2016,
422,Gianmarco Ercoli,2014,
423,Vittorio Ghirelli,2021,
424,Lucas Lasserre,2017,
425,Giorgio Maggi,2020,
426,Nicolò Rocca,2013,
427,Evgeny Sokolovsky,2020,
428,Henri Tuomaala,2018,
429,Davide Amaduzzi,2013,
430,Fabrizio Armetta,2013,
431,Dario Caso,2016,
432,Leonardo Colavita,2021,
433,Pierre Combot,2021,
434,Michaela Dorcikova,2019,
435,Martin Doubek,2015,
436,Thomas Ferrando,2016,
437,Luigi Ferrara,2019,
438,Frédéric Gabillon,2013,
439,Nicolò Gabossi,2021,
440,Marc Goossens,2016,
441,Alexander Graff,2018,
442,Loris Hezemans,2018,
443,Romain Iannetta,2016,
444,Scott Jeffs,2019,
445,Patrick Lemarié,2020,
446,Stienes Longin,2017,
447,Bernardo Manfrè,2020,
448,Federico Monti,2021,
449,Andrea Nori,2021,
450,Luka Nurmi,2021,
451,Simon Pilate,2020,
452,Igor Romanov,2021,
453,Alex Sedgwick,2018,
454,Francesco Sini,2018,
455,Jacques Villeneuve,2019,
456,Ian Eric Wadén,2021,
457,Alessandro Brigatti,2019,
458,Arianna Casoli,2016,
459,Andre Castro,2019,
460,Alex Ciompi,2020,
461,Tobias Dauenhauer,2020,
462,Dylan Derdaele,2020,
463,Guillaume Dumarey,2017,
464,Francesco Garisto,2020,
465,Vittorio Ghirelli,2019,
466,Andreas Jochimsen,2020,
467,Julia Landauer,2020,
468,Max Lanza,2018,
469,Simon Pilate,2020,
470,Eric Quintal,2012,
471,Nicholas Risitano,2018,
472,Vladimiros Tziortzis,2020,
473,Roberto Benedetti,2015,
474,Davide Dallara,2020,
475,Gašper Dernovšek,2020,
476,Martin Doubek,2015,
477,Matthias Hauer,2019,
478,Marcel Lenerz,2020,
479,Kris Richard,2020,
480,Igor Romanov,2020,
481,Evgeny Sokolovsky,2020,
482,Giovanni Trione,2020,
483,Pol van Pollaert,2019,
