,full_name,first_race,series
0,Keith McGee,2021,cw
1,Jessica Friesen,2021,cw
2,Drew Dollar,2022,xf
3,Drew Dollar,2021,cw
4,Codie Rohrbaugh,2018,cw
5,Donny Schatz,2021,cw
6,Parker Price-Miller,2021,cw
7,Todd Peck,2015,xf
8,Todd Peck,2011,cw
9,Cody Erickson,2014,cw
10,Akinori Ogata,2018,xf
11,Akinori Ogata,2014,cw
12,Michele Abbate,2021,cw
13,Chris Windom,2021,sc
14,Chris Windom,2017,cw
15,Chad Chastain,2021,cw
16,Jett Noland,2021,cw
17,Devon Rouse,2021,cw
18,Bayley Currey,2019,sc
19,Bayley Currey,2018,xf
20,Bayley Currey,2017,cw
21,Camden Murphy,2016,xf
22,Camden Murphy,2014,cw
23,Sage Karam,2021,xf
24,Sage Karam,2021,cw
25,Conor Daly,2018,xf
26,Conor Daly,2020,cw
27,Ray Ciccarelli,2017,cw
28,Jesse Iwuji,2020,xf
29,Jesse Iwuji,2018,cw
30,Kyle Donahue,2016,cw
31,Travis Pastrana,2012,xf
32,Travis Pastrana,2012,cw
33,Angela Ruch,2011,xf
34,Angela Ruch,2010,cw
35,Trevor Bayne,2010,sc
36,Trevor Bayne,2009,xf
37,Trevor Bayne,2020,cw
38,Stefan Parsons,2019,xf
39,Stefan Parsons,2018,cw
40,Mike Skeen,2018,xf
41,Mike Skeen,2013,cw
42,David Gravel,2020,cw
43,Kevin Donahue,2016,cw
44,Bryan Collyer,2020,cw
45,Ryan Huff,2020,cw
46,Colin Garrett,2019,xf
47,Colin Garrett,2019,cw
48,Ted Minor,2014,cw
49,Tyler Matthews,2019,xf
50,Tyler Matthews,2018,cw
51,Tanner Thorson,2018,cw
52,Max Tullman,2018,xf
53,Max Tullman,2018,cw
54,Tommy Regan,2017,sc
55,Tommy Regan,2014,cw
56,Mike Harmon,1996,xf
57,Mike Harmon,2001,cw
58,Jamie Mosley,2003,xf
59,Jamie Mosley,2009,cw
60,Logan Norman Seavey,2018,cw
61,Brian Kaltreider,2018,cw
62,Mike Senica,2017,cw
63,Chris Eggleston,2010,cw
64,Brad Foy,2018,cw
65,Michael Affarano,2014,cw
66,Justin Kunz,2018,cw
67,Michel Disdier,2014,cw
68,Michel Disdier,2007, Canadian Tire Series season
69,Brandon Hightower,2016,xf
70,Brandon Hightower,2015,cw
71,Donnie Levister,2017,cw
72,Vinnie Miller,2017,xf
73,Vinnie Miller,2017,cw
